,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
381832,381833,B005IY1MAU,AO64CL88PRVRM,Rae,0,0,2,1347667200,ended up not being a bargain after all,"I ended up comparing the value of this item, a little too late, after I had paid for it.  The size was wrong, the cost was ridiculous in comparison to any other<br />places selling the correct items.  You live and learn, I suppose."
503901,503902,B002GOYT1O,A2THGX4LOB6VFY,J. Weaver,1,1,4,1262736000,"Pretty Good, better then the rest.","I'm a big fan of chicken tikka masala, and being far from any restaurants I searched and searched for something I could just reheat and chow down on.  I'd tried the Jyoti and found it tasted much to similar to MREs for my taste.<br />This stuff actually tastes like chicken tikka masala.  It's not perfect, but it's close enough.<br /><br />The biggest problem I had with it was the fact that they ship it with dry ice, and when that all evaporated... the boxes got soggy.  Compound this with the fact that the adhesive keeping the plastic covering on the bowl has the strength of watered down elmer's glue... I was in for a nasty mess when I opened the box.  So, out of the 12, I lost about three.<br /><br />I'm sure had I not shipped it all the way out to Iraq, they would have made it frozen and intact.  I'll probably end up buying more of these though."
303129,303130,B0002DGRZC,A3W35OAAB4XNX9,Maryann Aniela Royster,0,0,5,1303862400,dogs love them,"all natural,dogs favorite treat. Don't give too many because it will constipate dog. My dogs will do anything for these treats!"
365005,365006,B000EI2LLO,A1FIJXX5LUYR4Q,katereviews,0,0,5,1309564800,when you can make your own!,"when you can't make your own or don't have the time this is perfect!<br />There are minimal ingredients, no preservatives.<br />I use it for this crock pot chicken [...]"
81698,81699,B001VDXO3K,A3VK8R9N80ZGBS,Wild Westerner 1,0,0,4,1343088000,Vita Coco 100% Pure Coconut Water,"If you like coconut water, this is for you! I had bought this product at a local market to try, while having chemo. Turns out the more i drank, the more i wanted! It has potassium in it, and some chemo makes you potassium deficient. So, i felt better drinking this product,along with lots of water, to say hydrated."
316038,316039,B002AYV8RS,A3EBHHCZO6V2A4,"Amaranth ""music fan""",7,7,5,1265587200,Autumn Harvest,"Dave's Gourmet is known for its punchy hot sauces, but its pasta sauces are underrated... especially this one. Made in San Francisco from butternut squash harvested in Oregon's Willamette Valley, it's at once savory and sweet. It has such a filling flavor that even Parmesan cheese is beside the point. It's a great topping for gnocchi,pasta,etc. It's a wonderfully autumnal sauce. Bon appetit!"
185782,185783,B000IXRG2O,A1E8F0AYFXPCRB,Derrick,0,0,5,1309996800,All time favorite candy bar,"Not generally a huge fan of candy bars. I don't hate them, I just don't love them with the exception of reeses related products. I prefer nutrageous over fast break and crispy crunchy. This has become hard to find but I still saw them at Lewis today.  Also like reeses sticks and obviously, peanut butter cups."
227269,227270,B0001VS9QK,AK0K640N97HV2,Winchester,0,1,1,1285459200,Drake's Devil Dog Recipe has chanaged...not for the better!,"I bought a box of Drake's Devil Dogs. Unfortunately, the creme filling is some kind of cornstarch pudding mixture; very disappointing. We've enjoyed the original recipe for 50 yrs. I would not buy another box now."
323494,323495,B000LNWIVU,APE949LZL3FWF,"Mastopiero ""mastropiero""",2,4,1,1215907200,The worst product i ever purchased. Cheap and useless.,"Please stay away from this product. I bought 3 of them, first one broke while it was hunging the first night i put it out.<br />Second one, lasted 2 weeks and trapped about 20 flies.<br />Material looks and feels cheap. Why did i ever buy this thing. Can't return the 3rd one because shipping will be more that the actual unit.<br />What a waist of time and money!"
189032,189033,B0000T15FU,A35OCP42ZI903T,Avid reader,0,0,5,1329782400,"Love 'em, but.........","I'm addicted to Hershey chocolate; I admit it, but be warned, don't order this in the summertime unless you like chocolate goo."
214325,214326,B000M2PSDU,AGX82QGR1C0S6,Nadine in Austin,8,9,5,1181260800,Extremely delicious.,"Each box has 5 sticks. Each stick is covered with chocolate sprinkles, and there's about 3 chambers which is filled with chocolate filling on the top and some sort of white filling on the bottom. This chocolate is extremely delicious.<br /><br />The crunchiness and the softness combine in a creamy paradise in your mouth.<br /><br />If you like this, you'll probably like Kinder Bueno as well."
375947,375948,B0000DBN1L,A3SGOVCWC3GJKC,"Heather E. Kleiner ""moparmama""",0,2,2,1267833600,what's going on?,"I loved the Tazo Organic Chai spiced black tea (at first). I brewed it a cup of hot water, no sweeteners. The tastes was good, it gave me a calming feeling, I felt mentally sharp, and could focus. However, the bad news is that 12 hours later, I could not sleep at night! I watched the clock tick all night long. After two days of this, I suspected the tea (as the only thing different in my routine). Since I have a personal and family history of hypertension (although under control by diet, medication, and exercise), I checked by BP that morning when I could not sleep: 148/98 and a pulse of 98! Something in that tea (I suspect) is interacting with my system. I don't ever want to go through this before., Has anyone else experienced this???"
336998,336999,B003C4YIFE,A3PWU9DN5U4DX4,lbrubaker,7,13,3,1279756800,Vermont Country Blend,"Vermont Country Blend is my favorite K-Cup. However, There were 2 different selections. Box of 24 for $24.25 and Box of 24 (Pack of 2) for $25.38.<br />I didn't see the (Pack of 2) for $1.13 more. Bummer!"
367781,367782,B003B3OOPA,A1CQKVQCED214X,Cora C. Wilson,1,1,5,1327276800,Great item has many uses,"Great item has many uses! I use it in my hair, on my body as a moisturizer, in my food and also as a supplement. It's the best and for a very good price."
204345,204346,B006N3I79Y,A1NXFYIZIRUIVG,Kevin,0,0,5,1349654400,Best decaf,"Having to drink decaf is easier with a hearty,bold , yet not bitter coffee ! Closest to Starbucks decaf if you like that type of stronger flavor. Have tried a lot of k-kup decafs and this is the best yet."
160846,160847,B00566HYH0,A39LXUU8U4PFLD,"Peg ""shopper""",3,3,5,1318809600,energy,"I love the way I feel drinking <a href=""http://www.amazon.com/gp/product/B00566HYH0"">Energy Green SuperFood Powder- 100 Servings - 24.7 oz - Powder</a> I buy this big one to refill my small one<a href=""http://www.amazon.com/gp/product/B003TJERRG"">Amazing Grass Energy Green Superfood Lemon Lime Flavor, 7.4-Ounce Tub</a>. This is more convenient to get into for my daily drinks. Then i keep the big one in the fridge and the little one i leave out. It does dry out some by the end of the week. Its just much easier for me.<br /><br /> I love the boost of energy i get from this drink.I have been out for a couple days and definitely notice a drop in my energy.The energy is not a jolt like caffeine but more like a natural feeling of well being with a kick of endurance. I feel Amazing on this stuff.<br /><br />  I also drink the chocolate. <a href=""http://www.amazon.com/gp/product/B001J9LX48"">Amazing Grass Chocolate Drink Powder, Green Superfood, 17-Ounce Container</a>It has amazing health benefits and has brought my PH into the normal range. without the chocolate my PH came up but not to normal.."
37569,37570,B001FA1LVG,A1RRHET1QIP1YK,Daniel Hill,1,1,5,1232928000,Cereal Bar,"Shipped fast and packed well. This is a terrific cereal bar and low cal. It has a great taste and texture. everyone who tries them, loves them. Can't wait to try another flavor."
20898,20899,B001EPPCFS,A29XI8QYHVHM7B,T. Casey,0,0,5,1262044800,Yum-yum,"I love these cookie - I mean biscuits.  Not only are they tasty, there is something about the texture that makes them especially yummy.  I ordered the seven pack and they all came nicely wrapped with very minimal breakage."
297189,297190,B0082PHH56,AZNAXW7FVLHAI,M. Zijlstra,3,3,5,1327536000,"I don't actually like normal coffee, but I love this!","As a very health oriented person I've never really been very interested in normal coffee, but have at various times dabbled in different coffee alternatives.<br /><br />Although many of the other coffee alternatives aren't bad, I can't really say that I was all that interested in them. Where Ayurvedic Roast is different, is that I really enjoy drinking it; it has a wonderful vanilla aroma, and a deep rich flavor.<br /><br />Interestingly enough, my mom, who very much _is_ a coffee drinker actually really likes it too, so I always make sure to keep a good amount in stock in case she comes by :)"
379471,379472,B007RLRCLK,A1CYNZMKTXO222,"Nylsa V. Barris ""Nukelegs""",0,12,1,1253664000,Do not order this product....,"It has been over three weeks and I still have not received this product.  And, they have charged me for it already..."
328058,328059,B0049FK5NO,A20IQLFES5BDPG,"Ally Singh ""Sushi Snob""",1,1,5,1332979200,Ohhhmmmmmm.... :),"If you are looking for a protein fill drink, full of good karma, this is for you.  I love Chai.  If you love Chai, that spicy, sweet goodness in a glass, then you are going to go nuts for this drink.  I like their other flavors, but this one is definitely the best!"
68601,68602,B000E63LOM,A1HNFI34RIL4RS,Steven Saus,1,1,5,1210032000,I can substitute it for coffee and be fine.,I am a coffee addict.  Yet the jitters can really detract from my work - both professionally and at home.  This tea provides the kick to keep me going without the jitters.<br /><br />I love this stuff.
192276,192277,B000CQC0B4,A10Q7DZ2RN5JSU,M. Lyons,0,0,1,1317340800,Blegh,It's bland while you're drinking it without any real chocolate or hazelnut flavor and leaves a horrible aftertaste once you've drank it.
161574,161575,B000GPM9IK,A38P1ZOTFTR1QF,gfeathers,0,0,5,1332806400,Steady energy pre-workout,I have tried many pre-workouts and there are only a few that I trust for quality. It provides a great pump and energy to make it through my workouts without making me jittery. It might not give you the rage feeling like Noxipro or 1MR but I sleep better at night knowing what I am putting in my body. I switch between this and Muscle Pharm's Assault.
284445,284446,B000EHXWI6,A3E87PNJPWBMLQ,Elizabeth Muenster,0,0,5,1258502400,Wonderful gluten free mix,It is probably the only falafel that a celiac can eat and it is so delicious.
195958,195959,B006N3I29E,A1AT0X7EL4X8VR,NanCee,1,1,5,1342310400,Good value.,Good to purchase in a larger quantity! Ease for keeping supplies in stock! Easy to obtain from Amazon without a third party involved.  Got to use my free shipping - yea.
397384,397385,B004XAPIOQ,A10NWNGJUIXE48,M. Morrison,0,0,5,1331769600,Great!,"My daughter loves these - she has celiac disease and really loves having ""normal"" mainstream foods. They are great for gluten free rice krispie treats!"
423502,423503,B005VOONGM,A3D1TZH619NKHN,In the AmaZone...,0,0,4,1335225600,Marley Coffee & Tea One Love Organic Coffee,"I found this to be a very smooth and somewhat rich coffee.  Very enjoyable with good flavor, but not with a lot of depth or darkness.  Ethiopia has produced some of the best coffee in the world, and while this may not be the best I have ever tasted, it is a very good medium roast, full flavored coffee without a lot of bitterness.  This is the best cup of pod coffee I have tasted so far.<br /><br />In addition to the pod brewer, I also tried this coffee pod in a pour-through basket with boiling water and also steeping it like a cup of tea and found that the flavor was pretty consistent, if not better when brewed outside of the pod brewer (I was able to steep the coffee much stronger and to higher yield in a cup with boiling water -but slower than the pod brewer).  The pods are marked with which side up/down and should be tucked down tight in the pod brewer for the best results.  Each pod is individually wrapped airtight, and tasted as fresh as any other pre-ground or pod coffee I have tried.  Sustainably grown."
436674,436675,B008O3G2GG,A1C7Y31S5QXNTR,majormusiclover,1,2,2,1317600000,A clever idea that didn't work.,"The smell and taste of the Lickety Stik was an instant success with our dog.<br />But the dispensing ball dosen't move easily, very much of the time,<br />and it's a nuisance for us to keep helping the ball turn for our dog to get this treat.<br />We get more on our hands then our Golden gets in his mouth.<br />When we try to turn the ball for our dog, even we find it difficult.<br /><br />The roller BALL is a concern, we don't consider it 'pet safe'.<br />If our Golden Retriver got this bottle,<br />he could easily bite this roller ball out and would try to eat it.<br /><br />The ball requires a strong tounge to move it, even at that it gets stuck.<br />We can't imagine this stik being at all compatible with small dogs.<br />If you squeeze the bottle to force the liquid out around the ball<br />most of that drops to the ground between licks.<br /><br />This would be a great idea if it worked, and was truely 'pet safe'."
521259,521260,B000E283KS,A3OK0ZL3K81W2B,Scott,1,1,5,1336953600,A little bit of heven.,I don't know why you can't find these much any more. When I do I stock up. I hate the sweet candy coated PopTarts as you find mostly today. Both the product and the service from Amazon were great.
298588,298589,B006N3I0DM,AKX0GK73F2XVE,SUNNY SYL,2,2,5,1343001600,delicious tasting kcup,Love the rich flavor and good taste.  Strong but not bitter.  Would also recommend Starbuck Cafe Verona which is fabulous.  Never was a Starbuck's fan but this kcup won me over.
288571,288572,B000ENUC3S,A2OCNYXGDJ9D9O,"B.O.B  AOJN ""would be gourmet""",2,2,5,1153353600,Flavor plus,"Wow!  I cannot believe that so much<br /><br />good healthy stuff could be in such<br /><br />a small package! The calorie count,<br /><br />etc. would help others choose this<br /><br />unique food bar."
267701,267702,B000FMZO8G,A39ILC0QR4E09L,A. Schneider,0,1,4,1301702400,Good product.  Probably won't order here again,"Bought these after reading the reviews.  They are tasty (a little strange at first but they really grow on you).  One nice thing is that for me, I can eat them as a chip alternative but I don't eat too many.  About 10-15 crisps and I'm done.  I have also used them in salads.<br /><br />I bought a case here and I don't think I'll do that again.  I've seen them at my grocery store and I'll buy a bag now and then.  For now I have a big box full in the closet.  I think it will take a while to get through them."
402802,402803,B000EQX6HO,A22O1ZPEAE4P8R,platypus,1,4,1,1318464000,"They literally gave me 6 tiny, broken pieces of chip.","I opened one of these terra chip bags and to my surprise, 6 crummy pieces of broken chips were in there. Not even 6 whole chips. 6 chip fragments. Plus, the chips looked totally stale. I returned the bag to the store immediately upon opening it."
299240,299241,B002BWRVKM,A199TD97S2QMEU,NRP,1,1,5,1317772800,The best tasting plant sterol item I have found!,"I have found the plant sterol margarines and the Benecol chews leave a horrible waxy film in my mouth. These cookies are really great - they taste good and no wax. They are a bit grainy but the flavor is really good and there are lots of chocolate chips, which really makes up for the graininess. 1.3 g of of plant sterols, 4 g of soluble fiber, 4 WW Pts+."
85879,85880,B00028LGDK,A1XJUO7Z18MFEA,Mona,0,0,5,1350604800,"it is montreal smoked meat, and it is perfect","this is what smoked meat in montreal tastes like - it's nor pastrami or corned beef. it comes in 5 packets so it stays fresh. all the information is in the description so i'm not sure what the confusion is. if you're looking for really good montreal smoked meat, here it is."
429572,429573,B001QXZA0K,A26QZY21M8Z2UE,A. Stevens,0,0,3,1342742400,Cake not so fresh!,"Amazon shipped this quick, but the carton was a little damaged on the corner but didn't affect the cake, so I kept it. The cake was not that fresh compared to the ones I bought while traveling in the Caribbean, it was kinda dry. The taste was good but the orange was overpowering so you really didn't taste much of the rum. I would not order again this one."
289766,289767,B00124VRPU,A1AKW788238PWQ,Truth Be Told,1,1,5,1344729600,Great Gum,"According to the manufacture the xylitol used in this gum is produced in the USA from birch, not GMO corn from China. This gum has a pleasant taste it is not too strong or over powering. Xyloburst, like most xylitol gum does not have long lasting flavor, but it does last long enough and it does not get rock hard once the flavor is gone so you can chew it for a while. The gum does a great job of controlling  bad breath/ refreshing your breath after meals. The added oral hygiene benefits you get from the xylitol is also a plus. I have been chewing this gum for a while and I have nothing bad to report,"
403347,403348,B0058AMY5G,A1RUS8VOWCIC28,ComputerGuy,0,7,1,1286236800,AWFUL TASTE,"Unless you really really really like vinegar - AVOID! Those chips should have been called ""Vinegar and Sea Salt"" - not ""Sea Salt and Vinegar""."
271302,271303,B000F63LDC,A12JHX5GLPNRT0,Irena,0,0,1,1317686400,The most disgusting chewing gum you can imagine,"I order dozens of products from Amazon every month and this is the first time I truly am compelled to review a product I had purchased.<br /><br />Wow. How difficult is it really to mess up a chewing gum? Well, this gum is plain disgusting. Within seconds it melts in your mouth into gooey mess that stick to your teeth and tongue. I tried using 2-3 pieces at the time, and the results was even worse. Unsure if I was given an old batch, but after I tried 10 pieces, I tossed the rest. By far the worst purchase I had ever made on Amazon. Gross.  What a waste of money."
346814,346815,B001EPQQX0,AWK0WYXRA4T4H,"Dee B. ""Dee B""",1,1,5,1211414400,Yum Yum delightful coffee,"This is truly a wonderful experience in a cup.  I absolutely love this coffee.  Folgers hasn't failed me yet.  Chocolate Truffle not only smells delicious but TASTES delicious.  After trying a few other brands from online purchases that were a complete letdown, I have to say my tastebuds have been redeemed.  3 12oz bags for $16 and change is is good buy for flavored coffee.  I'll be back for more.  Thanks Folgers and thank you Amazon for providing customers a Folger's selection thanks really good."
162092,162093,B000FJ7Z4K,A1JY8XKPU25524,S. Welch,0,2,4,1179100800,"Cute product, excellent service, quick delivery!","I ordered this for my son's birthday party, which was bumblebee themed. We gave them as favors to all the kids, and the parents thought they were so cleverly packaged in the bumblebee foil. We were getting nervous about delivery, but customer service was great, and they arrived in time!"
555376,555377,B001I6NUT8,A39OAVUKRF68RA,single dad,3,4,4,1253404800,"great, bargain","i actually prefer their ""original"" blend, but that's just me.  consumer reports rated this product EXTREMELY highly, and they were right.  bokar blend also good.  my new standard.  AVOID PRETENTIOUS CRAP.  so unpretentious and uncool it's almost pretentious and cool."
217985,217986,B000GZSDSA,A3NP4SFN2SBJWI,Laura J. Tai,0,0,5,1266192000,Baby Mum-Mum,Got this for my granddaughter who loves this food and goes nuts when she sees the box.  I recommend this snack over the normal mushy stuff that's out there even though this is not a good teething biscuit.  Granddaughter likes to practice biting so this is great.  We don't have to worry about choking; it melts fairly quickly in the mouth.  Enjoy. It comes in different flavors too.
229825,229826,B000I60K06,A1ISI2NZCQVHLZ,"Debra A. Sjberg ""debra9591""",6,6,5,1292544000,Been using this product for 37 years,"I have been using this flavor wheatgerm for 37 years and now find myself living in an area where it is not sold anywhere. I have asked 2 managers of 2 different grocery stores to order it for me and they said they couldn't. When I was in Florida a couple of years ago I bought every jar they had in the local grocery store just so I would have it for awhile. A few months ago I ran out and decided to see if it was on Amazon never imagining it actually was. I was so pleasantly suprised to find it here. Now I never have to worry about running out again! My son and I use this product to sprinkle on stew, mashed potatoes, macaroni and cheese and macaroni salad. It adds a nice flavor and texture. It is a staple in my life just as much as pepper or ketchup."
308206,308207,B003VIWN26,A1N4NAIHZF4J7X,"Dawndy12 ""Barely Surviving The Loss of My Dau...",0,3,1,1309564800,UNUSEABLE!!! ESP FOR SMALL DOGS!,I CANT REVIEW THIS FOOD...BECAUSE THE KIBBLE SIZE IS  H  U  G  E<br />UNLESS YOU HAVE A GIGANTIC DOG....I DO NOT THINK YOUR SM-MED DOG WILL WANT TO CHEW THESE! IM SO UPSET BECAUSE THEY LOVE THE CAN OF THIS WANTED TO MIX THE SAME AS CAN WITH THE DRY!
363181,363182,B000SATGHK,A2CV6KXDKFYIN1,regency reader,14,16,2,1294444800,Very Weak Tea,"There is another brand of organic rooibos tea offered on Amazon (Choice brand) that I previously ordered.  I gave that tea 5 stars.  Numi also offers a good rooibos.<br /><br />I decided to give Davidson's a chance since it was so cheap.  Now I understand why it's so cheap.  It is extremely weak tea.  2 bags of Davidson's is still not equal to 1 bag of Choice.  Maybe 3 or 4 bags is more like it.<br /><br />I actually ended up throwing out my most recent cup of Davidson's because I had left 2 old bags in there, along with 2 new bags (so 4 bags in total) thinking that maybe I could suck more tea out of the old bags (something I did quite often with the other brands).  But the joke was on me because what the tea ended up tasting like was the bags themselves with just a hint of tea.<br /><br />I feel that drinking this brand of rooibos tea is more like drinking plain water with just the hint of tea flavor.  I doubt I will drink the remaining 96 bags I have left but will instead use them for my tired eyes when I go to bed at night."
203051,203052,B000KEVF1O,A6NAF9GQHKOVO,KlutinaQuilter,0,0,5,1310342400,"Greenies, how can you say no?",Of course dogs love Greenies!  I was happy to find I could get them right from Amazon since I live in a remote area.
479499,479500,B0002I0GVS,A1IZ1OJLU5XLKY,be a healthy puppy,3,3,3,1328054400,Stinky gas and loos stoole,"I think this product is good, but my puppy does not go well with this product.  She got loos stool and stinky gas all the time.  I needed to change the food."
76133,76134,B002TO3K6Q,A1H4NF2OI9P8P7,J. MACLEAN,1,1,4,1290470400,"Delicious, sweet, and textured like a fresh pear","I ordered these as an alternative to canned pears, and they don't taste taste exactly like canned pears. While I like them canned, I found I like these even better. The light syrup gives it a nice flavor. What I like most about these is the texture of the fruit retains a lot of the crunchiness of a fresh pear, while most canned pears are soft throughout. So to me, this product is something like a hybrid of fresh pears and canned pears. Overall, I'm very pleased with this purchase and will order again. 4 stars for the relatively expensive price, but otherwise a 5 star product."
301880,301881,B007UL2910,A1YH8QBG38D7ZB,Sarah Weiss,5,8,1,1339200000,gross!,"This hot cocoa tastes very artificial, like fake sweetener. I could barely finish a cup of it, it was that gross. Buy at your own risk."
137617,137618,B000CQE3HS,A2OQY819AAOIUC,bob,0,0,4,1318809600,slim jim,"The box of slim jims was received in good condition,and there where no bad surprizes. The taste of the slim jims was just what I remember from when I was a small kid over 50 years ago, although the size of the product has gotten smaller, it still tastes the same."
330777,330778,B000E1VF86,A3PN9RBO3UDYPK,Kenneth M. Cronin,0,0,5,1340236800,Taste like Ranch Doritos!!,These little chips are fabulous. They taste like Ranch Doritos!! Wonderful flavor. Great for salads or crush as use as breading on chicken.
250127,250128,B0013MEB40,A5SKCSDE1O8T8,J. Taylor,1,6,2,1254182400,Bad flavor combination,"I purchased these thinking they would just be ordinary oatmeal raisin cookies. Wrong! I like chocolate chip and I like oatmeal raisin but these combination cookies just don't work well together. I wish I had read the item listing more carefully. Even my kids said ""Blech!""."
128294,128295,B000FFQD2O,A1YUL9PCJR3JTY,"O. Brown ""Ms. O. Khannah-Brown""",3,4,5,1156377600,Perfect Morning Tea (Caffeinated),"*****<br /><br />Numi Tea's Chinese Breakfast Yunnan Black Tea is a premium Numi tea, both certified organic and kosher. The only ingredient is fair trade certified organic high mountain Yunnan Black Tea FOP (Flowery Orange Pekoe). There is nothing artificial in this or in any Numi tea.<br /><br />On the box, the manufacturer writes: ""This noble tea is grown in the mist covered mountains of Yunnan province. What distinguishes this fine, organic black tea is its perfect sense of balance, exquisite tiger's eye color, and a lean vibrancy which makes it suitable at any time of day. Like a complex wine, it is the perfect tea for food, marrying well with a wide variety of dishes. It has a distant and hard to place floral quality, yet it leaves the mouth tasting as clean as spring water. And it energizes the body and mind more harmoniously than the best of coffees. We are proud to bring you this high grade leaf.""<br /><br />Although this tea says ""orange pekoe"", it does not taste citrus-y, but has a strong morning black tea taste with flowery overtones.  It is like a regular orange pekoe upgraded many, many times, with something delicate, lovely, and flowery added.  It's the perfect morning tea, or for anytime you want a high-quality pick-me-up.<br /><br />The price is super, a big savings over single boxes. If you like Numi teas, get it---you won't be sorry. If you are new to Numi but love regular black, this will probably be the best you've ever had, and you'll wonder why you ever drank the ""old stuff""!<br /><br />*****"
134152,134153,B004X8T920,ABNMD6670TV53,"R. Kolin ""Third Degree member since 1991""",0,0,2,1344038400,Starchy and too sweet,"I like Special K, but this product loses its crunch very quickly. It turns starchy and is like eating sweet mush. I won't be ordering this again. In fact, I will probably throw away the few cups I have remaining."
234881,234882,B000KV7ZGQ,A1Z7YPU3POXN3,Atmosfera,1,2,1,1313452800,Really for puppies!,I bought two of this bottles because I liked the principle but ended up realizing that this toy was basically designed for puppies.<br />The two bottles I bought lasted no more than two weeks with my German Sheppard.<br />The main problem is that this bottle is hit on the floor and walls at the time the dog is trying to get the kibble out of it. It cracks and is basically a dangerous toy for adult dogs that will end up eating part of the plastic.
397577,397578,B001EYUE5M,AEMI84HPCXI22,"Sharon Cooley ""Songbird""",0,0,5,1338076800,Extremely enjoyable,"I have been having difficulty finding this blend at local stores. After trying many different flavors over the past 18 months, I find this the most enjoyable blend yet, followed closely by Kona blend. Thanks to Amazon for carrying this blend at an affordable price."
