,Text
61,"There is another brand of organic rooibos tea offered on Amazon (Choice brand) that I previously ordered.  I gave that tea 5 stars.  Numi also offers a good rooibos.<br /><br />I decided to give Davidson's a chance since it was so cheap.  Now I understand why it's so cheap.  It is extremely weak tea.  2 bags of Davidson's is still not equal to 1 bag of Choice.  Maybe 3 or 4 bags is more like it.<br /><br />I actually ended up throwing out my most recent cup of Davidson's because I had left 2 old bags in there, along with 2 new bags (so 4 bags in total) thinking that maybe I could suck more tea out of the old bags (something I did quite often with the other brands).  But the joke was on me because what the tea ended up tasting like was the bags themselves with just a hint of tea.<br /><br />I feel that drinking this brand of rooibos tea is more like drinking plain water with just the hint of tea flavor.  I doubt I will drink the remaining 96 bags I have left but will instead use them for my tired eyes when I go to bed at night."
62,Of course dogs love Greenies!  I was happy to find I could get them right from Amazon since I live in a remote area.
63,"I think this product is good, but my puppy does not go well with this product.  She got loos stool and stinky gas all the time.  I needed to change the food."
64,"I ordered these as an alternative to canned pears, and they don't taste taste exactly like canned pears. While I like them canned, I found I like these even better. The light syrup gives it a nice flavor. What I like most about these is the texture of the fruit retains a lot of the crunchiness of a fresh pear, while most canned pears are soft throughout. So to me, this product is something like a hybrid of fresh pears and canned pears. Overall, I'm very pleased with this purchase and will order again. 4 stars for the relatively expensive price, but otherwise a 5 star product."
65,"This hot cocoa tastes very artificial, like fake sweetener. I could barely finish a cup of it, it was that gross. Buy at your own risk."
66,"The box of slim jims was received in good condition,and there where no bad surprizes. The taste of the slim jims was just what I remember from when I was a small kid over 50 years ago, although the size of the product has gotten smaller, it still tastes the same."
67,These little chips are fabulous. They taste like Ranch Doritos!! Wonderful flavor. Great for salads or crush as use as breading on chicken.
68,"I purchased these thinking they would just be ordinary oatmeal raisin cookies. Wrong! I like chocolate chip and I like oatmeal raisin but these combination cookies just don't work well together. I wish I had read the item listing more carefully. Even my kids said ""Blech!""."
69,"*****<br /><br />Numi Tea's Chinese Breakfast Yunnan Black Tea is a premium Numi tea, both certified organic and kosher. The only ingredient is fair trade certified organic high mountain Yunnan Black Tea FOP (Flowery Orange Pekoe). There is nothing artificial in this or in any Numi tea.<br /><br />On the box, the manufacturer writes: ""This noble tea is grown in the mist covered mountains of Yunnan province. What distinguishes this fine, organic black tea is its perfect sense of balance, exquisite tiger's eye color, and a lean vibrancy which makes it suitable at any time of day. Like a complex wine, it is the perfect tea for food, marrying well with a wide variety of dishes. It has a distant and hard to place floral quality, yet it leaves the mouth tasting as clean as spring water. And it energizes the body and mind more harmoniously than the best of coffees. We are proud to bring you this high grade leaf.""<br /><br />Although this tea says ""orange pekoe"", it does not taste citrus-y, but has a strong morning black tea taste with flowery overtones.  It is like a regular orange pekoe upgraded many, many times, with something delicate, lovely, and flowery added.  It's the perfect morning tea, or for anytime you want a high-quality pick-me-up.<br /><br />The price is super, a big savings over single boxes. If you like Numi teas, get it---you won't be sorry. If you are new to Numi but love regular black, this will probably be the best you've ever had, and you'll wonder why you ever drank the ""old stuff""!<br /><br />*****"
70,"I like Special K, but this product loses its crunch very quickly. It turns starchy and is like eating sweet mush. I won't be ordering this again. In fact, I will probably throw away the few cups I have remaining."
71,I bought two of this bottles because I liked the principle but ended up realizing that this toy was basically designed for puppies.<br />The two bottles I bought lasted no more than two weeks with my German Sheppard.<br />The main problem is that this bottle is hit on the floor and walls at the time the dog is trying to get the kibble out of it. It cracks and is basically a dangerous toy for adult dogs that will end up eating part of the plastic.
72,"I have been having difficulty finding this blend at local stores. After trying many different flavors over the past 18 months, I find this the most enjoyable blend yet, followed closely by Kona blend. Thanks to Amazon for carrying this blend at an affordable price."
73,"I have been buying this brand for the past 3 years. I am a Kona Lover, but have issues with spending 200 dollars for a 5 pound bag (I have the money but I much rather give it to charity than drink it). This brand almost gives you the Aroma of the higher quality Kona, even though it is a Blend, but for a lot lower cost. It has a perfect medium brew. Recommend it highly."
74,"My mom-in-law had rec'd 1 box of these in a gift box, but couldn't find more when she found she enjoyed the convenience of them in her hot tea & on toast.  She said the straws are just the right amount, they are less messy & the honey keeps longers than in a jar.  A 6-pk was a great surprise for her.  The price was reasonable for a convenience item."
75,"Nice robust flavor especially for a morning blend. The price is incredible, about a quarter cheaper per cup compared to a standard k cup. I was a bit nervous about how they would work in my cuisinart brewer. Not a problem, they work flawlessly. I'll be ordering a lot more."
76,"I actually used this on one of my chocolate cakes and it was beautiful! It gave off a beautiful glitter shimmer. The only problem I had was that it was a little messy. It's kind of hard to get off surfaces if you get it on the table or something. It also sticks to your fingers when spreading it on your baking goods, but that's not much of a problem because you can easily wash that off. If you are afraid that it's too expensive for the small amount of glitter, I can tell you that a little glitter can go along way. :)  I will be buying more different colored glitter from this brand."
77,I bought this when my daughter started eating food...around 6 months of age.  It works great although it doesn't make a large amount of food...maybe enough for 3 servings.  But now that I've been using it for about 4 months I noticed the drive shaft is looking a little blackish/rusty and leaking black which spills into the food when you pour it out.  I tried to take out the drive shaft before I poured it out but the taste of the food doesn't taste right.  I can't feed the food to my baby any longer using this machine.  I'm going to return it and probably just make it the old fashioned way.  If you want to try a baby processor try another brand.
78,"Since I starting drinking Baja Bob's I now take the packets with me when going out to dinner and ask the bartender to make my drink with Baja Bob's.  When I first did this 5 years ago, they balked.  It seems like more bartenders are understanding that women (and guys too) don't want the extra calories.  I love the taste -- not as sweet as a regular margarita, and that works so much better for me!"
79,"FLAVOR: PINK LEMONADE<br />-it definitely tastes like pink lemonade<br />-consistency is thick, it's like you're drinking lemon syrup<br />-i hate the orange flavor, this is definitely an improvement<br /><br />EFFECTIVENESS: FAST, I DID FEEL TIRED AFTER A FEW HOURS THOUGH<br />-perks you up within 15-20 minutes<br />-after 3-4 hours, I definitely noticed my limbs feeling like lead (felt sluggish)<br /><br />PRICE: DECENT<br />-12 bottles (24 oz)<br />-can find cheaper energy supplements that are just effective<br /><br />OVERALL: if you're a big fan of 5 hour energy but not the flavor, you might enjoy this... there are cheaper alternatives on amazon though, I prefer<a href=""http://www.amazon.com/gp/product/B0017O19Q2"">STAY ALERT Military Caffeine Energy Gum - ARCTIC MINT </a> (caffeine-based) since it works faster (and freshens my breath! but doesn't last as long), and if you don't like caffeine/gum, <a href=""http://www.amazon.com/gp/product/B000LKTQAE"">Hansen's Energy Pro Drink</a> (works better than 5 hour energy)."
80,"Anyone remember that old joke about Grey Poupon that involved two old sophisticated men in a limousine?  I remember that commercial with fond memories, and in fact is the main reason I avoided eating it for so long for fear that I'd become exactly like those men.  Good thing it was just a big joke and *anyone* can eat this stuff without desiring to feel high and mighty!<br /><br />The taste is good but it's not as appealing as it used to be.  I believe they're either making it cheaper these days or simply have changed their recipe for the worse.  Either way old time fans of this product that have been neglecting it over the years may be in for quite the disappointing surprise when they go to eat this overpriced stuff."
81,"Tried this when it went on sale for $1.00/box and kicking myself for not buying in quantity! I eat very little flesh food and this broth was a blessing in disguise for pressure cooking beans and other vegetarian fare. Unfortunately, Amazon is not competitive with the local supermarkets as I can drive about a mile and buy for $3.00.box."
82,"My sister, who is a coffee lover, told me about Tully's Italian.  Now, it's my favorite k-pod.  Not too dark and not too light.....just right.  The only thing to would improve it would be if it was Organic."
83,"Thought this tea would have been more bitter, but it is surprisingly pleasant to drink without sweeteners!  Less bitter than a black or earl grey tea.  The pack of 3 is a wonderful deal as well.  Had to get creative with storing so much tea in my cupboard, but for the amount you get, the price cannot be beat. Highly recomended!"
84,"I enjoy eating spicy food with my girlfriend, and we have tried many different levels of spicy food (ghost pepper sauce, etc). These chips get pretty spicy about 1/2 through one of the 2-ounce bags and they have a good taste too!"
85,"I just re-ordered this decaf coffee.  We have tried several decaf varieties looking for that perfect cup.  The Donut House is our reigning favorite.  We had been drinking Donut SHOP decaf and just tried Green Mountain Breakfast Blend decaf.  While both of these coffees are pleasant, neither compares to the Donut House in aroma or flavor.  This coffee is full bodied in taste and very smooth.  We brew it on the 8oz setting and think that is perfect, although we make the next size larger for my mother who likes her's a bit weaker.  We'll probably keep looking for the perfect decaf; this one is excellent."
86,This condiment is one I keep in my desk at work.  Sometimes I stop by a local grocery chain deli and pick up a pre-made sandwich for lunch since I know I won't have time to go out. The Beaver Brand Cranberry Mustard really dresses up an ordinary turkey breast sandwich. A nice combination of tart/sweet cranberry plus the zing of good deli mustard.
87,"Our rescue black lab/hound mix had parasites when we first got her so we knew she needed a good quality food.  We started her out on Blue Buffalo and even after the parasites completely cleared her body, she was still pooping 5+ times a day and nothing solid.  We slowly switched her over to the Organix and she hasn't had a single stomach issue since. We are very fortunate to have found such good quality food and food that she actually enjoys eating!! She is very healthy now and her coat is beautiful and soft as ever. It is costly but you can't put a price on the well-being of a loved one.  Only wish we had started her on it sooner to save her 2 months of misery.  Highly recommend this product!!"
88,"We love these snacks! My son is 13 months old and just gobbles them up.<br />I echo a few other reviewers here though, these are not for younger babies. They're very crunchy.<br />The packaging is great, small enough to stuff in the diaper bag."
89,"It has a hint of Jasmine in the tea flavor. I enjoy it.<br /><br /><a href=""http://www.amazon.com/gp/product/B000R4G4TU"">Bigelow Green Tea with Jasmine 20-Count Boxes (Pack of 6)</a>"
90,"This is a pretty neat concept, rewarding your dog with licks rather than treats, to cut down calorie consumption.  However, it's only good if your dog likes it.  Mine doesn't.  To be fair, he's 8 years old and set in his ways."
91,"These lollipops are are well done, look exactly like the picture. Not a single one was broken! They packaged each lollipop so nicely, very impressed!"
92,"Personally, I prefer grating my own cheese right before pasta dinners, but this product makes for a nice condiment at the table or when you don't have a block of fresh cheese to grate. The flavor is pretty nice, goes nicely with spaghetti sauce or as an garnish to other things like chicken."
93,"I found that this tea really helped increase my milk supply. It tasted a little funny at first, but I quickly got used to it. The price on Amazon is unbeatable, especially if you use subscribe and save."
94,Amazing smooth flavor.  I use this mixed with skim milk and a high protein powder to make a wonderful iced coffee smoothie.  It is the breakfast of champions!!
95,"Having moved from a state where this popcorn was always available, we were aghast that no one carried it in our new area!  It appears that very few here like this wonderfully natural tasting, lightly salted, lower calorie popcorn, but preferred those that heavily tasted of thick butter with lots of salt and coats the mouth with film.  This popcorn pops fully, leaving no kernels unpopped, and doesn't need any additives.  Ease of ordering and prompt shipment make this a wonderful way for those of us who just have to have it!  Thank you, [...]!"
96,ok so i love chocolate!!! then again who doesn't? they shipped it fast and none of the chocolates were melted!:) They were absolutely delicious and a wonderful box of delicacies!
97,"This is the BEST ""jerk"" seasoning around!  Forget the dry rubs and the jerk ""sauces"".  This seasoning is so flavorful you DON'T need a lot!!!  A little too much and you feel the ""heat"".  Use 1/2 teaspoon rubbed on a steak, chicken or pork is all you need!! A jar lasts forever.  You can also use it as a marinade by mixing some with more oil (instead of rubbing it on directly) but personally I think that's wasteful.  Rub it on, grill it, bake it, anyway you do it you'll LOVE IT!"
98,"I really don't like the fact that they are made in china.<br />Even if its organic, I don't feel comfortable that it's from china so I probably wont get it anymore..."
99,"We've been gluten free for awhile and I've experimented with different mixes and making from scratch.  Everyone has their own definition of the ""perfect"" chocolate cookie, this one is pretty close to mine.<br /><br />I absolutely love them.  They were chewy, had a nice rise to them, and the finished cookie tasted great.  As other reviewers have said, there aren't a lot of chocolate chips in them, so you could always add your own.<br /><br />The dough does feel differently, but when you start in gluten free baking, you have to get over the expectation that recipes will mix up the same as the ones with regular flour.  I did smell and taste the fava bean in the dough, but once they were baked I couldn't at all.  I don't think someone could tell these were gluten free at all if I didn't tell them."
100,"I purchased this product for it's probiotics, but found it difficult to disguise the sour taste.  Lifeway's flavored products were a much better option.  This product can make a good substitute for sour cream as far as taste goes.  It has a much thinner consistancy though."
